10-21 17:51:31.711   52749-52749   A00000/org.map...rmony/testTag  org.maplibre.harmony  I     Ability onWindowStageCreate
10-21 17:51:31.711   52749-52749   C04200/org.map...JsWindowStage  org.maplibre.harmony  I     (87)LoadContent: [NAPI]
10-21 17:51:31.711   52749-52749   C01332/org.map...ony/UIAbility  org.maplibre.harmony  I     [js_ui_ability.cpp:1408]end, name: onWindowStageCreate, time: 1
10-21 17:51:31.711   52749-52749   C04202/org.map...rmony/WMSMain  org.maplibre.harmony  I     [] GoForeground(159): reason: 0
10-21 17:51:31.711   52749-52749   C0420A/org.map...rmony/WMSLife  org.maplibre.harmony  I     [] Show(1186): Window show [name: harmony0, id: 46, type: 1], reason: 0, state:1, requestState:1
10-21 17:51:31.711   52749-52749   C04201/org.map...isplayManager  org.maplibre.harmony  W     (634)GetDisplayById: update display from cache, Id: 0
10-21 17:51:31.712   52749-52749   C04201/org.map...isplayManager  org.maplibre.harmony  W     (634)GetDisplayById: update display from cache, Id: 0
10-21 17:51:31.712   52749-52749   C04200/org.map...neSessionImpl  org.maplibre.harmony  I     (1014)GetSystemSizeLimits: [System SizeLimits] [maxWidth: 6240, minWidth: 1040, maxHeight: 6240, minHeight: 780]
10-21 17:51:31.712   52749-52749   C04208/org.map...ony/WMSLayout  org.maplibre.harmony  I     [] UpdateNewSize(4274): Fullscreen window could not update new size, winId: 46
10-21 17:51:31.712   52749-52749   C04217/org.mapl...WMSAttribute  org.maplibre.harmony  I     [] IsSystemDensityChanged(5034): windowId: 46, lastDensity: -1.000000, currDensity: 3.250000
10-21 17:51:31.712   52749-52749   C04201/org.map...isplayManager  org.maplibre.harmony  W     (634)GetDisplayById: update display from cache, Id: 0
10-21 17:51:31.712   52749-52749   C04208/org.map...ony/WMSLayout  org.maplibre.harmony  I     [] UpdateViewportConfig(1214): [rotation,deviceRotation,transformHint,virtualPixelRatio]:[0,0,0,3.250000]
10-21 17:51:31.712   52749-52749   C04200/org.map...owSessionImpl  org.maplibre.harmony  W     (1219)UpdateViewportConfig: uiContent is null!
10-21 17:51:31.712   52749-52749   C04200/org.map...neSessionImpl  org.maplibre.harmony  I     (4596)UpdateDensityInner: WindowSceneSessionImpl::UpdateDensity [0, 0, 1216, 2688]
